*=============================================
* Raw Declination data (from 1990)
* Each line is either:
*
*    blank = comment
*        * = comment
*        + = following data are positive
*        - = following data are negative
*  [d]d mm = degs and mins
*
*=============================================

* January
-
23 03
22 58
22 52
22 46
22 40
22 33
22 26
22 18
22 10
22 02
21 53
21 43
21 34
21 23
21 13
21 02
20 50
20 38
20 26
20 14
20 01
19 47
19 33
19 19
19 05
18 50
18 35
18 19
18 03
17 47
17 31
* February (28-day)
-
17 14
16 57
16 40
16 22
16 04
15 46
15 27
15 09
14 50
14 30
14 11
13 51
13 31
13 11
12 50
12 30
12 09
11 48
11 27
11 05
10 44
10 22
10 00
9 38
9 16
8 54
8 31
8 09
* March
-
7 46
7 23
7 00
6 37
6 14
5 51
5 28
5 04
4 41
4 18
3 54
3 31
3 07
2 43
2 20
1 56
1 32
1 09
0 45
0 21
+
0 03
0 26
0 50
1 14
1 37
2 01
2 24
2 48
3 11
3 35
3 58
* April
+
4 21
4 45
5 08
5 31
5 53
6 16
6 39
7 01
7 24
7 46
8 08
8 30
8 52
9 14
9 36
9 57
10 18
10 39
11 00
11 21
11 42
12 02
12 22
12 42
13 02
13 22
13 41
14 00
14 19
14 38
* May
+
14 56
15 14
15 32
15 50
16 07
16 24
16 41
16 57
17 14
17 30
17 45
18 01
18 16
18 31
18 45
18 59
19 13
19 27
19 40
19 53
20 05
20 17
20 29
20 41
20 52
21 03
21 13
21 23
21 33
21 42
21 51
* June
+
21 59
22 08
22 15
22 23
22 30
22 36
22 42
22 48
22 54
22 59
23 03
23 07
23 11
23 14
23 17
23 20
23 22
23 24
23 25
23 26
23 26
* Next line is peak excursion, 23.443ø
23 26.6
23 26
23 25
23 24
23 23
23 21
23 18
23 15
23 12
* July
+
23 08
23 04
23 00
22 55
22 50
22 44
22 38
22 32
22 25
22 18
22 10
22 02
21 54
21 45
21 36
21 27
21 17
21 07
20 56
20 45
20 34
20 22
20 10
19 58
19 45
19 33
19 19
19 06
18 52
18 38
18 23
* August
+
18 08
17 53
17 38
17 22
17 06
16 50
16 33
16 17
16 00
15 42
15 25
15 07
14 49
14 31
14 12
13 53
13 34
13 15
12 56
12 36
12 16
11 56
11 36
11 16
10 55
10 35
10 14
9 53
9 32
9 10
8 49
* September
+
8 27
8 05
7 44
7 22
6 59
6 37
6 15
5 52
5 30
5 07
4 44
4 22
3 59
3 36
3 13
2 50
2 26
2 03
1 40
1 17
0 53
0 30
0 07
-
0 17
0 40
1 03
1 27
1 50
2 13
2 37
* October
-
3 00
3 23
3 47
4 10
4 33
4 56
5 19
5 42
6 05
6 28
6 50
7 13
7 36
7 58
8 20
8 42
9 05
9 27
9 48
10 10
10 32
10 53
11 14
11 35
11 56
12 17
12 37
12 57
13 18
13 37
13 57
* November
-
14 17
14 36
14 55
15 13
15 32
15 50
16 08
16 26
16 43
17 00
17 17
17 34
17 50
18 06
18 22
18 37
18 52
19 07
19 21
19 35
19 48
20 02
20 15
20 27
20 39
20 51
21 02
21 13
21 24
21 34
* December
-
21 44
21 53
22 02
22 10
22 18
22 26
22 33
22 40
22 46
22 52
22 58
23 02
23 07
23 11
23 15
23 18
23 20
23 22
23 24
23 25
23 26
23 26
23 26
23 26
23 25
23 23
23 21
23 18
23 15
23 12
23 08

* Next two are computed, needed for interpolation (smoothish change
* here, conveniently)
23 04
22 59

*----- end -----

