*=============================================
* Raw Equation-of-time data (from 1990)
* Each line is either:
*
*    blank = comment
*        * = comment
*        + = following data are positive
*        - = following data are negative
*  [m]m ss = mins and secs
*
*=============================================

* January
-
3 17
3 46
4 14
4 41
5 08
5 35
6 02
6 27
6 53
7 17
7 42
8 05
8 28
8 51
9 12
9 33
9 54
10 14
10 33
10 51
11 09
11 26
11 42
11 57
12 12
12 26
12 39
12 51
13 02
13 13
13 22
* February (28-day)
-
13 31
13 39
13 47
13 53
13 59
14 03
14 07
14 10
14 13
14 14
14 15
14 15
14 14
14 13
14 10
14 07
14 04
13 59
13 54
13 49
13 42
13 35
13 28
13 20
13 11
13 01
12 51
12 41
* March
-
12 30
12 18
12 06
11 54
11 40
11 27
11 13
10 58
10 44
10 29
10 13
9 57
9 41
9 25
9 08
8 51
8 34
8 16
7 59
7 41
7 24
7 06
6 48
6 30
6 12
5 54
5 35
5 17
4 59
4 41
4 23
* April
-
4 05
3 47
3 30
3 12
2 54
2 37
2 20
2 03
1 46
1 30
1 13
0 57
0 42
0 26
0 12
+
0 03
0 17
0 31
0 45
0 58
1 10
1 23
1 34
1 46
1 56
2 07
2 16
2 26
2 34
2 43
* May
+
2 51
2 58
3 05
3 11
3 17
3 22
3 26
3 30
3 34
3 37
3 39
3 41
3 42
3 43
3 43
3 42
3 41
3 39
3 37
3 34
3 31
3 27
3 22
3 17
3 11
3 05
2 59
2 52
2 44
2 36
2 28
* June
+
2 19
2 10
2 01
1 51
1 41
1 30
1 20
1 08
0 57
0 45
0 34
0 21
0 09
-
0 03
0 16
0 29
0 42
0 55
1 08
1 21
1 34
1 47
2 01
2 14
2 27
2 39
2 52
3 05
3 17
3 29
* July
-
3 41
3 53
4 04
4 15
4 26
4 36
4 46
4 56
5 05
5 14
5 22
5 30
5 38
5 45
5 51
5 58
6 03
6 08
6 13
6 17
6 21
6 24
6 26
6 28
6 29
6 30
6 30
6 30
6 28
6 27
6 24
* August
-
6 21
6 18
6 13
6 08
6 03
5 57
5 50
5 43
5 35
5 26
5 17
5 08
4 58
4 47
4 36
4 24
4 12
3 59
3 46
3 32
3 18
3 04
2 48
2 33
2 17
2 00
1 43
1 26
1 09
0 51
0 32
* September
-
0 14
+
0 06
0 25
0 44
1 04
1 24
1 45
2 05
2 26
2 47
3 08
3 29
3 50
4 11
4 32
4 54
5 15
5 36
5 58
6 19
6 40
7 01
7 22
7 43
8 04
8 25
8 46
9 06
9 26
9 46
* October
+
10 06
10 25
10 44
11 03
11 22
11 40
11 58
12 15
12 32
12 48
13 04
13 20
13 35
13 49
14 03
14 16
14 29
14 41
14 53
15 04
15 14
15 24
15 33
15 41
15 49
15 56
16 02
16 07
16 12
16 16
16 20
* November
+
16 22
16 24
16 25
16 25
16 24
16 23
16 20
16 17
16 13
16 08
16 02
15 56
15 48
15 40
15 30
15 20
15 09
14 58
14 45
14 31
14 17
14 02
13 46
13 30
13 12
12 54
12 35
12 16
11 55
11 34
* December
+
11 13
10 51
10 28
10 04
9 40
9 15
8 50
8 24
7 58
7 31
7 04
6 37
6 09
5 40
5 12
4 43
4 13
3 44
3 14
2 45
2 15
1 45
1 15
0 45
0 15
-
0 14
0 44
1 14
1 43
2 12
2 41

* Next two are computed, needed for interpolation (smooth change of
* 29 seconds/day, here, conveniently)
3 10
3 39

*----- end -----

